"Time","System","User","Iowait","Total"
2024-08-09 03:11:15,0%,0%,0%,1%
2024-08-09 03:11:30,0%,0%,0%,1%
2024-08-09 03:11:45,1%,0%,0%,3%
2024-08-09 03:12:00,0%,0%,0%,1%
2024-08-09 03:12:15,0%,0%,0%,1%
2024-08-09 03:12:30,0%,0%,0%,1%
2024-08-09 03:12:45,1%,1%,0%,3%
2024-08-09 03:13:00,1%,1%,0%,3%
2024-08-09 03:13:15,1%,1%,0%,4%
2024-08-09 03:13:30,4%,4%,0%,13%
2024-08-09 03:13:45,2%,2%,0%,8%
2024-08-09 03:14:00,3%,2%,0%,9%
2024-08-09 03:14:15,3%,2%,0%,9%
2024-08-09 03:14:30,8%,5%,0%,20%
2024-08-09 03:14:45,6%,4%,0%,15%
2024-08-09 03:15:00,6%,3%,0%,15%
2024-08-09 03:15:15,5%,3%,0%,14%
2024-08-09 03:15:30,12%,7%,0%,32%
2024-08-09 03:15:45,12%,7%,0%,32%
2024-08-09 03:16:00,11%,6%,0%,26%
2024-08-09 03:16:15,8%,4%,0%,21%
2024-08-09 03:16:30,17%,10%,0%,41%
2024-08-09 03:16:45,17%,10%,0%,45%
2024-08-09 03:17:00,16%,9%,0%,39%
2024-08-09 03:17:15,22%,13%,0%,57%
2024-08-09 03:17:30,20%,13%,0%,54%
2024-08-09 03:17:45,22%,12%,0%,56%
2024-08-09 03:18:00,19%,13%,0%,53%
2024-08-09 03:18:15,22%,13%,0%,57%
2024-08-09 03:18:30,25%,15%,0%,67%
2024-08-09 03:18:45,24%,16%,0%,66%
2024-08-09 03:19:00,24%,17%,0%,69%
2024-08-09 03:19:15,24%,15%,0%,65%
2024-08-09 03:19:30,26%,16%,0%,70%
2024-08-09 03:19:45,23%,15%,0%,65%
2024-08-09 03:20:00,26%,15%,0%,69%
2024-08-09 03:20:15,25%,16%,0%,70%
2024-08-09 03:20:30,27%,16%,0%,68%
2024-08-09 03:20:45,26%,17%,0%,73%
2024-08-09 03:21:00,27%,16%,0%,74%
2024-08-09 03:21:15,26%,16%,0%,72%
2024-08-09 03:21:30,25%,16%,0%,71%
2024-08-09 03:21:45,24%,14%,0%,69%
2024-08-09 03:22:00,28%,18%,0%,74%
2024-08-09 03:22:15,26%,17%,0%,75%
