"Time","max","p95","p90","min","mean"
2024-08-09 03:11:19,3.24 ms,3.24 ms,3.24 ms,3.24 ms,3.24 ms
2024-08-09 03:11:20,5.53 ms,5.53 ms,5.53 ms,5.53 ms,5.53 ms
2024-08-09 03:11:21,8.31 ms,8.31 ms,8.31 ms,8.31 ms,8.31 ms
2024-08-09 03:11:22,4.12 ms,4.12 ms,4.12 ms,4.12 ms,4.12 ms
2024-08-09 03:11:23,40.0 ms,40.0 ms,40.0 ms,40.0 ms,40.0 ms
2024-08-09 03:11:24,4.09 ms,4.09 ms,4.09 ms,4.09 ms,4.09 ms
2024-08-09 03:11:25,7.98 ms,7.98 ms,7.98 ms,7.98 ms,7.98 ms
2024-08-09 03:11:26,7.53 ms,7.53 ms,7.53 ms,7.53 ms,7.53 ms
2024-08-09 03:11:27,15.0 ms,15.0 ms,15.0 ms,15.0 ms,15.0 ms
2024-08-09 03:11:28,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:11:29,3.01 ms,3.01 ms,3.01 ms,3.01 ms,3.01 ms
2024-08-09 03:11:30,1.58 ms,1.58 ms,1.58 ms,1.58 ms,1.58 ms
2024-08-09 03:11:32,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:33,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:34,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:35,32.6 ms,32.6 ms,32.6 ms,32.6 ms,32.6 ms
2024-08-09 03:11:36,13.1 ms,13.1 ms,13.1 ms,13.1 ms,13.1 ms
2024-08-09 03:11:37,2.53 ms,2.53 ms,2.53 ms,2.53 ms,2.53 ms
2024-08-09 03:11:38,1.96 ms,1.96 ms,1.96 ms,1.96 ms,1.96 ms
2024-08-09 03:11:39,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:11:40,1.00 ms,1.00 ms,1.00 ms,1.00 ms,1.00 ms
2024-08-09 03:11:41,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:42,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:11:43,2.04 ms,2.04 ms,2.04 ms,2.04 ms,2.04 ms
2024-08-09 03:11:44,1.62 ms,1.62 ms,1.62 ms,1.62 ms,1.62 ms
2024-08-09 03:11:45,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:46,1.82 ms,1.82 ms,1.82 ms,1.82 ms,1.82 ms
2024-08-09 03:11:47,3.02 ms,3.02 ms,3.02 ms,3.02 ms,3.02 ms
2024-08-09 03:11:48,3.89 ms,3.89 ms,3.89 ms,3.89 ms,3.89 ms
2024-08-09 03:11:49,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:50,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:51,0.518 ms,0.518 ms,0.518 ms,0.518 ms,0.518 ms
2024-08-09 03:11:52,2.04 ms,2.04 ms,2.04 ms,2.04 ms,2.04 ms
2024-08-09 03:11:53,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:54,1.57 ms,1.57 ms,1.57 ms,1.57 ms,1.57 ms
2024-08-09 03:11:55,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:56,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:11:57,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:11:58,0.520 ms,0.520 ms,0.520 ms,0.520 ms,0.520 ms
2024-08-09 03:11:59,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:12:00,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:01,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:12:02,2.55 ms,2.55 ms,2.55 ms,2.55 ms,2.55 ms
2024-08-09 03:12:03,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:04,1.98 ms,1.98 ms,1.98 ms,1.98 ms,1.98 ms
2024-08-09 03:12:05,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:06,1.55 ms,1.55 ms,1.55 ms,1.55 ms,1.55 ms
2024-08-09 03:12:07,0.749 ms,0.749 ms,0.749 ms,0.749 ms,0.749 ms
2024-08-09 03:12:08,1.28 ms,1.28 ms,1.28 ms,1.28 ms,1.28 ms
2024-08-09 03:12:09,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:10,2.23 ms,2.23 ms,2.23 ms,2.23 ms,2.23 ms
2024-08-09 03:12:11,1.66 ms,1.66 ms,1.66 ms,1.66 ms,1.66 ms
2024-08-09 03:12:12,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 03:12:13,1.57 ms,1.57 ms,1.57 ms,1.57 ms,1.57 ms
2024-08-09 03:12:14,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:12:15,1.81 ms,1.81 ms,1.81 ms,1.81 ms,1.81 ms
2024-08-09 03:12:16,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 03:12:17,1.59 ms,1.59 ms,1.59 ms,1.59 ms,1.59 ms
2024-08-09 03:12:18,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 03:12:19,1.57 ms,1.57 ms,1.57 ms,0.546 ms,1.22 ms
2024-08-09 03:12:20,4.39 ms,4.39 ms,4.39 ms,1.07 ms,2.13 ms
2024-08-09 03:12:21,2.13 ms,2.13 ms,2.12 ms,1.53 ms,1.75 ms
2024-08-09 03:12:22,2.72 ms,2.72 ms,2.58 ms,1.13 ms,1.94 ms
2024-08-09 03:12:23,2.90 ms,2.90 ms,2.65 ms,0.518 ms,1.76 ms
2024-08-09 03:12:24,4.14 ms,4.12 ms,4.12 ms,1.52 ms,2.72 ms
2024-08-09 03:12:25,32.6 ms,32.0 ms,32.0 ms,1.20 ms,8.85 ms
2024-08-09 03:12:26,6.17 ms,5.08 ms,5.08 ms,2.15 ms,3.53 ms
