"Time","System","User","Iowait","Total"
2024-08-09 01:54:00,0%,0%,0%,0%
2024-08-09 01:54:15,0%,0%,0%,0%
2024-08-09 01:54:30,0%,0%,0%,1%
2024-08-09 01:54:45,0%,0%,0%,1%
2024-08-09 01:55:00,0%,0%,0%,1%
2024-08-09 01:55:15,0%,0%,0%,1%
2024-08-09 01:55:30,1%,1%,0%,3%
2024-08-09 01:55:45,2%,3%,0%,7%
2024-08-09 01:56:00,2%,3%,0%,7%
2024-08-09 01:56:15,4%,4%,0%,11%
2024-08-09 01:56:30,3%,3%,0%,10%
2024-08-09 01:56:45,3%,3%,0%,9%
2024-08-09 01:57:00,4%,4%,0%,12%
2024-08-09 01:57:15,5%,4%,0%,13%
2024-08-09 01:57:30,8%,8%,0%,24%
2024-08-09 01:57:45,7%,6%,0%,18%
2024-08-09 01:58:00,9%,7%,0%,21%
2024-08-09 01:58:15,8%,6%,0%,18%
2024-08-09 01:58:30,15%,12%,0%,39%
2024-08-09 01:58:45,15%,15%,0%,45%
2024-08-09 01:59:00,14%,12%,0%,36%
2024-08-09 01:59:15,15%,14%,0%,43%
2024-08-09 01:59:30,21%,20%,0%,61%
2024-08-09 01:59:45,21%,18%,0%,60%
2024-08-09 02:00:00,21%,19%,0%,60%
2024-08-09 02:00:15,22%,20%,0%,65%
2024-08-09 02:00:30,23%,21%,0%,66%
2024-08-09 02:00:45,22%,20%,0%,65%
2024-08-09 02:01:00,22%,21%,0%,66%
2024-08-09 02:01:15,22%,19%,0%,64%
2024-08-09 02:01:30,22%,21%,0%,67%
2024-08-09 02:01:45,22%,21%,0%,68%
2024-08-09 02:02:00,22%,23%,0%,70%
2024-08-09 02:02:15,21%,22%,0%,70%
2024-08-09 02:02:30,22%,22%,0%,69%
2024-08-09 02:02:45,22%,22%,0%,68%
2024-08-09 02:03:00,22%,22%,0%,68%
2024-08-09 02:03:15,23%,23%,0%,72%
2024-08-09 02:03:30,21%,21%,0%,67%
2024-08-09 02:03:45,22%,23%,0%,67%
2024-08-09 02:04:00,21%,22%,0%,65%
2024-08-09 02:04:15,22%,22%,0%,69%
2024-08-09 02:04:30,23%,23%,0%,70%
2024-08-09 02:04:45,22%,22%,0%,67%
2024-08-09 02:05:00,22%,21%,0%,67%
