"Time","max","p95","p90","min","mean"
2024-08-09 01:54:03,2.71 ms,2.71 ms,2.71 ms,2.71 ms,2.71 ms
2024-08-09 01:54:04,8.88 ms,8.88 ms,8.88 ms,8.88 ms,8.88 ms
2024-08-09 01:54:05,1.51 ms,1.51 ms,1.51 ms,1.51 ms,1.51 ms
2024-08-09 01:54:06,1.06 ms,1.06 ms,1.06 ms,1.06 ms,1.06 ms
2024-08-09 01:54:07,0.521 ms,0.521 ms,0.521 ms,0.521 ms,0.521 ms
2024-08-09 01:54:08,2.76 ms,2.76 ms,2.76 ms,2.76 ms,2.76 ms
2024-08-09 01:54:09,3.72 ms,3.72 ms,3.72 ms,3.72 ms,3.72 ms
2024-08-09 01:54:10,9.70 ms,9.70 ms,9.70 ms,9.70 ms,9.70 ms
2024-08-09 01:54:11,0.506 ms,0.506 ms,0.506 ms,0.506 ms,0.506 ms
2024-08-09 01:54:12,0.507 ms,0.507 ms,0.507 ms,0.507 ms,0.507 ms
2024-08-09 01:54:13,1.51 ms,1.51 ms,1.51 ms,1.51 ms,1.51 ms
2024-08-09 01:54:14,8.51 ms,8.51 ms,8.51 ms,8.51 ms,8.51 ms
2024-08-09 01:54:15,1.56 ms,1.56 ms,1.56 ms,1.56 ms,1.56 ms
2024-08-09 01:54:16,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 01:54:17,2.00 ms,2.00 ms,2.00 ms,2.00 ms,2.00 ms
2024-08-09 01:54:18,1.53 ms,1.53 ms,1.53 ms,1.53 ms,1.53 ms
2024-08-09 01:54:19,1.23 ms,1.23 ms,1.23 ms,1.23 ms,1.23 ms
2024-08-09 01:54:20,8.52 ms,8.52 ms,8.52 ms,8.52 ms,8.52 ms
2024-08-09 01:54:21,1.09 ms,1.09 ms,1.09 ms,1.09 ms,1.09 ms
2024-08-09 01:54:22,0.919 ms,0.919 ms,0.919 ms,0.919 ms,0.919 ms
2024-08-09 01:54:23,0.508 ms,0.508 ms,0.508 ms,0.508 ms,0.508 ms
2024-08-09 01:54:24,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 01:54:25,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 01:54:26,0.523 ms,0.523 ms,0.523 ms,0.523 ms,0.523 ms
2024-08-09 01:54:27,0.508 ms,0.508 ms,0.508 ms,0.508 ms,0.508 ms
2024-08-09 01:54:28,8.55 ms,8.55 ms,8.55 ms,8.55 ms,8.55 ms
2024-08-09 01:54:29,0.510 ms,0.510 ms,0.510 ms,0.510 ms,0.510 ms
2024-08-09 01:54:30,0.899 ms,0.899 ms,0.899 ms,0.899 ms,0.899 ms
2024-08-09 01:54:31,0.888 ms,0.888 ms,0.888 ms,0.888 ms,0.888 ms
2024-08-09 01:54:32,0.511 ms,0.511 ms,0.511 ms,0.511 ms,0.511 ms
2024-08-09 01:54:33,0.506 ms,0.506 ms,0.506 ms,0.506 ms,0.506 ms
2024-08-09 01:54:34,8.41 ms,8.41 ms,8.41 ms,8.41 ms,8.41 ms
2024-08-09 01:54:35,0.508 ms,0.508 ms,0.508 ms,0.508 ms,0.508 ms
2024-08-09 01:54:36,8.67 ms,8.67 ms,8.67 ms,8.67 ms,8.67 ms
2024-08-09 01:54:37,0.507 ms,0.507 ms,0.507 ms,0.507 ms,0.507 ms
2024-08-09 01:54:38,1.54 ms,1.54 ms,1.54 ms,1.54 ms,1.54 ms
2024-08-09 01:54:39,1.39 ms,1.39 ms,1.39 ms,1.39 ms,1.39 ms
2024-08-09 01:54:40,0.508 ms,0.508 ms,0.508 ms,0.508 ms,0.508 ms
2024-08-09 01:54:41,1.49 ms,1.49 ms,1.49 ms,1.49 ms,1.49 ms
2024-08-09 01:54:42,0.506 ms,0.506 ms,0.506 ms,0.506 ms,0.506 ms
2024-08-09 01:54:43,0.507 ms,0.507 ms,0.507 ms,0.507 ms,0.507 ms
2024-08-09 01:54:44,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 01:54:45,0.521 ms,0.521 ms,0.521 ms,0.521 ms,0.521 ms
2024-08-09 01:54:46,0.377 ms,0.377 ms,0.377 ms,0.377 ms,0.377 ms
2024-08-09 01:54:47,0.507 ms,0.507 ms,0.507 ms,0.507 ms,0.507 ms
2024-08-09 01:54:48,0.955 ms,0.955 ms,0.955 ms,0.955 ms,0.955 ms
2024-08-09 01:54:49,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 01:54:50,0.522 ms,0.522 ms,0.522 ms,0.522 ms,0.522 ms
2024-08-09 01:54:51,1.52 ms,1.52 ms,1.52 ms,1.52 ms,1.52 ms
2024-08-09 01:54:52,0.918 ms,0.918 ms,0.918 ms,0.918 ms,0.918 ms
2024-08-09 01:54:53,0.917 ms,0.917 ms,0.917 ms,0.917 ms,0.917 ms
2024-08-09 01:54:54,1.26 ms,1.26 ms,1.26 ms,1.26 ms,1.26 ms
2024-08-09 01:54:55,1.05 ms,1.05 ms,1.05 ms,1.05 ms,1.05 ms
2024-08-09 01:54:56,0.508 ms,0.508 ms,0.508 ms,0.508 ms,0.508 ms
2024-08-09 01:54:57,0.509 ms,0.509 ms,0.509 ms,0.509 ms,0.509 ms
2024-08-09 01:54:58,0.525 ms,0.525 ms,0.525 ms,0.525 ms,0.525 ms
2024-08-09 01:54:59,0.511 ms,0.511 ms,0.511 ms,0.511 ms,0.511 ms
2024-08-09 01:55:00,0.499 ms,0.499 ms,0.499 ms,0.499 ms,0.499 ms
2024-08-09 01:55:01,0.509 ms,0.509 ms,0.509 ms,0.509 ms,0.509 ms
2024-08-09 01:55:02,1.11 ms,1.11 ms,1.11 ms,1.11 ms,1.11 ms
2024-08-09 01:55:03,1.10 ms,1.10 ms,1.10 ms,0.542 ms,0.822 ms
2024-08-09 01:55:04,1.30 ms,1.30 ms,1.30 ms,0.739 ms,1.03 ms
2024-08-09 01:55:05,7.55 ms,7.55 ms,7.55 ms,0.509 ms,2.06 ms
2024-08-09 01:55:06,8.84 ms,8.84 ms,1.20 ms,0.508 ms,1.81 ms
2024-08-09 01:55:07,2.37 ms,2.37 ms,1.89 ms,0.512 ms,1.19 ms
2024-08-09 01:55:08,1.96 ms,1.96 ms,1.57 ms,0.511 ms,1.000 ms
2024-08-09 01:55:09,3.03 ms,2.04 ms,2.04 ms,0.561 ms,1.40 ms
2024-08-09 01:55:10,7.88 ms,5.58 ms,5.58 ms,0.508 ms,2.21 ms
2024-08-09 01:55:11,12.5 ms,8.57 ms,8.57 ms,0.510 ms,3.32 ms
2024-08-09 01:55:12,14.4 ms,3.03 ms,2.67 ms,0.511 ms,2.44 ms
2024-08-09 01:55:13,3.87 ms,3.00 ms,2.88 ms,0.524 ms,1.89 ms
2024-08-09 01:55:14,5.00 ms,4.81 ms,3.94 ms,0.799 ms,2.27 ms
2024-08-09 01:55:15,4.67 ms,4.63 ms,4.00 ms,0.901 ms,2.32 ms
2024-08-09 01:55:16,3.67 ms,3.66 ms,3.19 ms,0.510 ms,1.80 ms
2024-08-09 01:55:17,4.29 ms,4.27 ms,4.14 ms,0.641 ms,2.32 ms
2024-08-09 01:55:18,6.09 ms,5.33 ms,4.27 ms,0.512 ms,2.64 ms
2024-08-09 01:55:19,8.91 ms,7.67 ms,6.85 ms,0.512 ms,3.67 ms
2024-08-09 01:55:20,7.52 ms,7.47 ms,6.03 ms,0.514 ms,3.25 ms
2024-08-09 01:55:21,10.7 ms,7.85 ms,7.35 ms,1.12 ms,4.63 ms
2024-08-09 01:55:22,32.4 ms,20.5 ms,16.2 ms,1.58 ms,8.66 ms
2024-08-09 01:55:23,20.8 ms,14.6 ms,13.6 ms,1.57 ms,7.88 ms
